id,name,custom,unitType,abbreviation,multiplierToSI,parentSI,constantToSI,description
gramsPerCentimeterSquaredPerSecond,gramsPerCentimeterSquaredPerSecond,f,arealMassDensityRate,,0.1,kilogramsPerMeterSquaredPerSecond,,grams Per Centimeter Squared Per Second
gramsPerCubicCentimeter,gramsPerCubicCentimeter,f,massDensity,g/cm³,1000,kilogramsPerCubicMeter,,grams per cubic centimeter
gramsPerGram,gramsPerGram,f,massPerMass,,1,,,grams per gram
gramsPerHectarePerDay,gramsPerHectarePerDay,f,arealMassDensityRate,,0.0000000000011574,kilogramsPerMeterSquaredPerSecond,,grams Per Hectare Squared Per Day
gramsPerLiter,gramsPerLiter,f,massDensity,g/l,1,kilogramsPerCubicMeter,,grams per liter
gramsPerLiterPerDay,gramsPerLiterPerDay,f,volumetricMassDensityRate,,1,,,grams Per (Liter Per Day)
gramsPerMeterSquaredPerHour,gramsPerMeterSquaredPerHour,t,arealMassDensityRate,g/m^2/hr,0.0000166667,kilogramsPerMeterSquaredPerSecond,,grams per meter square per hour
gramsPerMeterSquaredPerYear,gramsPerMeterSquaredPerYear,f,arealMassDensityRate,,0.0000000000317098,kilogramsPerMeterSquaredPerSecond,,grams Per Meter Squared Per Year
gramsPerMilliliter,gramsPerMilliliter,f,massDensity,g/ml,1000,kilogramsPerCubicMeter,,grams per milliliter
gramsPerOneQuarterMeterSquared,gramsPerOneQuarterMeterSquared,t,arealMassDensity,g/0.25m^2,,,,Grams per 0.25 square meter surface area
gramsPerSquareMeter,gramsPerSquareMeter,f,arealMassDensity,g/m²,0.001,kilogramsPerSquareMeter,,grams per square meter
gramsPerYear,gramsPerYear,f,massFlux,g/yr,0.0000000000317,kilogramsPerSecond,,grams Per Year
gray,gray,f,specificEnergy,Gy,1,,,gray
hectare,hectare,f,area,ha,10000,squareMeter,,1 hectare is 10^4 square meters
celsius,celsius,f,,C,1,kelvin,273.18,SI-derived unit of temperature
hectogram,hectogram,f,mass,hg,0.1,kilogram,,.1 kg
degree,degree,f,angle,°,0.0174532924,radian,,360 degrees comprise a unit circle.
hectometer,hectometer,f,,hm,100,meter,,100 meters
hectosecond,hectosecond,f,,hsec,100,second,,100 seconds
henry,henry,f,inductance,H,1,,,henry
hertz,hertz,f,frequency,Hz,1,,,hertz
hour,hour,f,,hr,3600,second,,3600 seconds
inch,inch,f,,in,0.0254,meter,,An imperial measure of length
joule,joule,f,energy,J,1,,,joule = N*m
katal,katal,f,catalyticActivity,kat,1,,,katal
kelvin,kelvin,f,temperature,K,1,,,SI unit of temperature
kilogram,kilogram,f,mass,kg,1,,,SI unit of mass
kilogramPerCubicMeter,kilogramPerCubicMeter,f,massDensity,,1,,,kilogram per cubic meter
kilogramsPerHectare,kilogramsPerHectare,f,arealMassDensity,,0.0001,kilogramsPerSquareMeter,,kilograms per hectare
kilogramsPerHectarePerYear,kilogramsPerHectarePerYear,f,arealMassDensityRate,,0.000317,kilogramsPerMeterSquaredPerSecond,,kilograms Per Hectare Per Year
kilogramsPerMeterSquaredPerSecond,kilogramsPerMeterSquaredPerSecond,f,arealMassDensityRate,,1,,,kilograms per meter squared per second
kilogramsPerMeterSquaredPerYear,kilogramsPerMeterSquaredPerYear,f,arealMassDensityRate,,0000000317,kilogramsPerMeterSquaredPerSecond,,kilograms Per Meter Squared Per Year
kilogramsPerSecond,kilogramsPerSecond,f,massFlux,kg/s,1,,,kilograms per second
kilogramsPerSquareMeter,kilogramsPerSquareMeter,f,arealMassDensity,kg/m²,1,,,kilograms per square meter
kilohertz,kilohertz,f,frequency,KHz,1000,hertz,,kilohertz
kiloliter,kiloliter,f,volume,kL,1,cubicMeter,,1 cubic meter
kilometer,kilometer,f,,km,1000,meter,,1000 meters
kilometersPerHour,kilometersPerHour,f,speed,km/hr,0.2778,metersPerSecond,,km/hr
kilopascal,kilopascal,f,pressure,kPa,1000,pascal,,kilopascal
kilosecond,kilosecond,f,,ksec,1000,second,,1000 seconds
kilovolt,kilovolt,f,potentialDifference,kV,1000,volt,,kilovolt
kilowatt,kilowatt,f,power,kW,1000,watt,,kilowatt
knots,knots,f,speed,,0.514444,metersPerSecond,,knots
Link_Clarke,Link_Clarke,f,,,0.2011661949,meter,,This is an ESRI unit and the multiplier comes from ESRI. It may not be accurate.
liter,liter,f,volume,L,0.001,cubicMeter,,1000 cm^3
lumen,lumen,f,luminosity,lm,1,,,lumen
lux,lux,f,illuminance,lx,1,,,lux
megagram,megagram,f,mass,Mg,1000,kilogram,,1000 kg
megahertz,megahertz,f,frequency,MHz,1000000,hertz,,megahertz
megameter,megameter,f,,Mm,1000000,meter,,1000000 meters
megapascal,megapascal,f,pressure,MPa,1000000,pascal,,megapascal
megasecond,megasecond,f,,Msec,1000000,second,,1000000 seconds
megavolt,megavolt,f,potentialDifference,MV,1000000,volt,,megavolt
megawatt,megawatt,f,power,MW,1000000,watt,,megawatt
meter,meter,f,length,m,1,,,SI unit of length
metersPerDay,metersPerDay,f,speed,m/day,.0000115741,,,meters per day
metersPerGram,metersPerGram,f,massSpecificLength,m/g,1,,,meters per gram
metersPerSecond,metersPerSecond,f,speed,m/s,1,metersPerSecond,,meters per second
metersPerSecondSquared,metersPerSecondSquared,f,acceleration,m/s²,1,,,meters per second squared
metersSquaredPerDay,metersSquaredPerDay,f,transmissivity,m²/day,86400,metersSquaredPerSecond,,meters squared per day
metersSquaredPerSecond,metersSquaredPerSecond,f,transmissivity,m²/s,1,,,meters squared per second
microCuriePerMicroMole,microCuriePerMicroMole,t,radionucleotideActivity,µCi/µmol,1,,,specific activity of a radionuclide
microEinsteinsPerSquareMeter,microEinsteinsPerSquareMeter,t,illuminance,µE/m^2,1,,,micro Einsteins (1E-06 moles of photons) per square meter (radiant flux)
